City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Coquimbo,CL,-29.9533,-71.3436,69.13,70,22,7.27,few clouds
243,Mocoa,CO,1.1493,-76.6466,84.51,61,99,4.52,overcast clouds
244,Narsaq,GL,60.9167,-46.05,28.62,92,100,9.84,overcast clouds
245,Cotonou,BJ,6.3654,2.4183,84.18,84,20,10.36,few clouds
246,Zhezkazgan,KZ,47.8043,67.7144,28.24,95,97,7.83,overcast clouds
247,North Bend,US,43.4065,-124.2243,42.71,87,40,3.44,mist
248,Bayir,TR,37.2687,28.2167,46.92,88,88,3.87,overcast clouds
249,Sakakah,SA,29.9697,40.2064,53.17,25,0,6.29,clear sky
250,Seddon,AU,-37.8068,144.8916,68.76,67,0,6.91,clear sky
251,Sokol,RU,59.4617,40.1206,23.88,96,68,8.28,snow
252,Keti Bandar,PK,24.1447,67.4497,70.03,57,0,7.7,clear sky
253,Ville-Marie,CA,47.3335,-79.433,-11.2,78,100,3.38,overcast clouds
254,Lasa,IT,46.6166,10.7002,31.46,60,2,2.33,clear sky
255,Klyuchi,RU,52.2667,79.1667,25.29,94,100,15.73,light snow
256,Alakurtti,RU,66.9672,30.3491,11.62,95,100,6.24,light snow
257,Northam,GB,51.0333,-4.2167,49.91,96,100,17.02,overcast clouds
258,Waipawa,NZ,-41.4122,175.5153,54.23,85,100,10.69,overcast clouds
259,Pergamino,AR,-33.89,-60.5736,83.25,20,1,2.75,clear sky
260,Minsk,BY,53.9,27.5667,26.35,82,76,12.17,broken clouds
261,Arona,ES,28.0996,-16.681,63.12,73,20,12.66,few clouds
262,Port Moresby,PG,-9.4431,147.1797,76.42,88,20,3.44,few clouds
263,Talnakh,RU,69.4865,88.3972,-7.13,70,10,9.26,clear sky
264,Mount Gambier,AU,-37.8333,140.7667,60.71,94,100,8.05,overcast clouds
265,Ankola,IN,14.6667,74.3,73.54,76,0,3.6,clear sky
266,Sabang,ID,5.8933,95.3214,82.22,73,56,9.84,broken clouds
267,Naushki,RU,50.3828,106.1056,-25.06,100,77,1.72,broken clouds
268,Dawson Creek,CA,55.7666,-120.2362,33.76,69,20,3.44,few clouds
269,Bonnyville,CA,54.2668,-110.735,31.32,87,86,16.02,light snow
270,Udachnyy,RU,66.4167,112.4,-21.8,95,13,1.57,few clouds
271,Krasnoselkup,RU,65.7,82.4667,-2.52,91,7,12.57,clear sky
272,Lompoc,US,34.6391,-120.4579,83.57,28,0,8.05,clear sky
273,Nisia Floresta,BR,-6.0911,-35.2086,88.61,55,9,11.81,clear sky
274,Sandpoint,US,48.2766,-116.5533,37.56,74,0,0.0,clear sky
275,Tuatapere,NZ,-46.1333,167.6833,41.83,94,14,3.65,few clouds
276,Viedma,AR,-40.8135,-62.9967,91.96,12,1,8.52,clear sky
277,Misratah,LY,32.3754,15.0925,58.33,57,2,8.12,clear sky
278,Rawson,AR,-43.3002,-65.1023,88.92,21,9,18.43,clear sky
279,Coxim,BR,-18.5067,-54.76,90.97,46,92,4.45,overcast clouds
280,Lodja,CD,-3.4833,23.4333,71.24,89,87,2.73,overcast clouds
281,Caraballeda,VE,10.6112,-66.8522,88.38,52,20,2.3,few clouds
282,Horta,PT,38.5333,-28.6333,62.24,59,75,6.91,broken clouds
283,Kahului,US,20.8947,-156.47,74.84,83,20,7.0,few clouds
284,Eydhafushi,MV,5.1033,73.0708,81.64,75,100,12.77,overcast clouds
285,Padang,ID,-0.9492,100.3543,77.09,85,100,3.78,overcast clouds
286,Homer,US,59.6425,-151.5483,33.67,98,100,0.0,mist
287,Wladyslawowo,PL,54.7909,18.4009,36.95,64,96,15.64,overcast clouds
288,Otjimbingwe,NA,-22.35,16.1333,77.72,63,99,2.73,overcast clouds
289,Saint-Augustin,CA,51.226,-58.6502,4.48,70,6,13.85,clear sky
290,Khatanga,RU,71.9667,102.5,-24.2,92,88,3.27,overcast clouds
291,Siljan,NO,59.2884,9.71,43.3,96,100,6.08,light rain
292,Hithadhoo,MV,-0.6,73.0833,82.42,76,85,10.96,overcast clouds
293,Geraldton,AU,-28.7667,114.6,73.81,83,100,6.91,overcast clouds
294,Roald,NO,62.5833,6.1333,43.16,87,75,11.5,broken clouds
295,Upernavik,GL,72.7868,-56.1549,-6.5,96,100,13.78,overcast clouds
296,Suraabad,AZ,40.8192,49.4687,41.18,83,69,22.53,broken clouds
297,Grand-Bourg,GP,15.8835,-61.3148,85.05,75,4,21.39,clear sky
298,Valparaiso,CL,-33.0393,-71.6273,71.24,76,75,17.27,broken clouds
299,Rio Gallegos,AR,-51.6226,-69.2181,59.05,20,20,51.79,few clouds
300,Yerbogachen,RU,61.2767,108.0108,-28.03,100,91,3.62,overcast clouds
